# time,T0,rate0,T1,rate1
# mcp9800 Config reg OK
8.228,72.770,0.000,71.570,0.000
9.229,72.570,0.000,71.400,0.000
10.229,72.590,0.000,71.510,0.000
11.230,72.660,0.000,71.670,0.000
12.231,72.800,0.000,71.820,0.000
13.232,72.980,0.000,72.000,0.000
14.233,73.000,0.000,72.020,0.000
15.234,73.030,0.000,72.090,0.000
16.235,72.970,0.000,72.120,0.000
17.236,73.060,0.000,72.210,0.000
18.238,73.060,2.598,72.210,4.829
19.239,73.170,3.562,72.320,5.393
20.241,73.040,3.196,72.280,4.727
21.242,73.190,2.563,72.430,4.061
22.244,73.080,1.631,72.320,3.096
23.245,73.090,0.632,72.330,2.097
24.247,73.170,0.766,72.410,2.097
25.248,73.170,1.132,72.490,2.297
26.249,73.250,1.298,72.580,2.464
27.250,73.250,1.265,72.670,2.763
28.251,73.380,1.332,72.840,3.262
29.252,73.380,1.831,72.840,3.594
30.253,73.520,2.230,72.990,3.729
31.254,73.670,3.062,73.220,4.860
32.256,73.720,4.062,73.270,6.126
33.257,73.790,4.162,73.340,6.226
34.258,74.040,4.961,73.600,6.793
35.260,74.040,5.527,73.600,7.092
36.261,73.990,5.094,73.540,6.292
37.263,74.040,4.661,73.510,5.126
38.264,74.100,4.594,73.650,4.927
39.266,74.150,4.493,73.700,5.058
40.267,74.190,3.828,73.740,4.094
41.268,74.400,3.995,73.960,4.028
42.269,74.370,4.194,73.920,4.228
43.270,74.330,2.897,73.880,2.863
44.272,74.470,2.397,74.030,2.363
45.273,74.380,2.730,73.940,2.763
46.274,74.330,2.264,73.880,2.564
47.275,74.470,2.198,74.110,2.764
48.276,74.620,2.796,74.170,3.096
49.277,74.670,3.163,74.310,3.463
50.279,74.650,2.431,74.290,2.997
51.280,74.760,2.131,74.130,1.798
